Extraversion,Conscientiousness,Agreeableness,Neuroticism,Openness_A,Openness_B,Subject_1,Subject_2
1.26617745,0.245496362,0.24665763,0.99098502,-1.240947776,-1.032618688,60.94286,67
1.75055233,0.873352281,0.79295755,-1.70763511,-1.003984685,1.514134074,81.31429,69.6
1.27064548,-2.132566018,0.87041442,0.70758011,-0.012237843,-0.216528432,78.64286,50
-0.77405622,0.269312416,1.22091064,-0.93967564,-0.049685985,0.80052726,68.34286,45.2
0.74449389,0.931447036,-0.80954433,0.31840735,-0.691828806,-0.526428476,68.5,71
0.60188307,-0.893114604,-0.37228776,1.86028015,1.455777651,0.099743508,99.57143,71.4
0.08761202,1.749599555,-0.46170948,0.35686939,1.35452154,-1.189442491,53.07143,61.6
-1.51600295,1.641069325,1.24437087,-0.56088768,0.595810829,0.342971522,59.21429,77.6
-2.13170944,-0.274913976,0.44143902,0.32947426,-0.251242187,1.036665275,100,93.2
0.25086791,-0.662768913,0.22951817,-0.82972317,0.413135049,1.426327854,86.85714,81.4
-0.75806856,0.707268701,-0.48596393,-0.17783932,-1.912969609,-1.633514261,73.32857,69.2
-0.78779153,0.402429929,-2.38901975,-0.62929993,0.345515059,-0.232931485,72.5,51.2
-1.60259826,-1.008411468,-0.30039565,0.89133431,-1.20427987,-0.805956869,75.11429,51.4
-0.09588361,-0.001653299,0.2450918,-0.03570335,-0.810374421,0.346792626,61.57143,57.6
0.73860937,0.662534775,0.04624065,-1.43583027,-0.044961153,-0.25578433,61.64286,65.2
1.65531158,0.715197126,0.38583223,0.67752565,1.617622862,-0.261799028,67.5,75.4
-0.7652558,-0.332755554,0.23867585,-0.82317797,-1.423557142,-1.280126223,80.28571,74.8
-0.86593132,-0.966520001,-0.94930861,0.3474343,-1.742795988,1.737344729,90.08571,64
-0.49732611,-0.413757101,1.1564241,0.34072477,-0.489559818,0.173214128,84.12857,50.8
0.10953925,0.705220402,1.17826235,-0.35700395,-1.621326199,-0.869750645,69.75714,50
-0.37523737,2.257177592,-0.49229319,1.68037255,-0.005454454,1.618466599,97.71429,64.6
-0.17005771,1.40929294,0.31459938,-0.43018529,-0.729150144,0.152034627,53.1,59
-1.16130448,-0.32974534,-2.2581978,-0.75325339,-0.418100175,-1.078113073,80.84286,60
-0.1920082,-1.060160624,-2.02788693,-0.49803914,-0.316028731,0.34495491,86.85714,70.4
0.12355679,-0.795352784,-0.79851364,0.47618082,0.445892209,-0.529741781,97.14286,78
-0.8742685,1.528849592,-1.87358141,1.54643993,0.598027818,-0.314686509,74.52857,50
-0.07263017,-0.687593274,0.20725969,-1.03681954,0.272585791,-1.494906808,92.6,69
-0.54619536,1.95236277,0.66442129,1.90023228,1.010297256,-0.059217042,89.94286,74.8
2.18874807,0.837643118,0.76689046,1.46388896,-1.351651531,-2.42458087,67.28571,53.4
1.22846184,2.085080521,-0.11040758,-0.96537106,-0.191757276,-1.057066297,70.67143,85.2
-1.68226132,0.250430704,0.6883474,1.11316004,1.251081394,0.929870874,96.27143,82.2
0.58149679,1.067324276,-0.62561027,-1.63800681,0.90115195,0.223043375,79.42857,72.6
-0.34154596,1.050805646,-1.00570083,-0.07705421,-0.319604667,0.328612141,75.74286,58.6
1.79245771,-0.527848384,-0.40980396,0.69771743,-0.091197351,0.058806929,78.31429,79.8
0.54313244,0.032712772,-0.54337232,0.81604806,-0.3197499,1.58332434,61.07143,67
-0.79997924,-2.216794275,0.77832054,-0.84021992,-0.271436398,-1.609191508,68.1,71.6
-0.18786511,-0.30580321,-2.09498643,1.56791521,-0.815101257,0.028252836,NA,53
1.65969735,-0.844009242,-1.11622396,0.19650698,1.272376263,0.086177331,79.71429,65.6
1.6181345,-0.169709492,0.53336489,-0.80623437,0.215866577,0.005245704,90.41429,66.6
1.44241028,0.308296442,0.22518861,-1.44848893,0.183448473,0.033436428,90.41429,66.6
-0.07488873,-0.99045622,0.6049725,-2.19914593,-0.06613987,-0.477469556,72.35714,38
-0.63022969,0.561074769,-0.29702373,-0.31419514,0.302105558,-0.687322287,67.97143,69.2
-0.44793529,0.123848721,0.95368559,-0.52977214,-1.032329315,0.686540309,65.7,49.6
-0.61421694,-0.046923323,-0.21277443,-2.12760716,0.065976166,0.046420738,76.02857,71.6
-1.26989503,0.115924293,-2.18816752,-0.94173448,1.018465371,1.015008469,97.28571,64.6
-0.67580005,0.263029639,0.31940172,-0.03913553,-0.226765776,-1.480979238,74.97143,53
1.66441354,1.194979831,0.2839274,-1.36106851,1.72002376,0.210261032,93.21429,75.2
2.4433264,-0.266221806,-0.17051558,0.12980539,0.147520204,0.536782652,80.34286,55.4
-0.80634107,0.897628582,0.6509704,-0.87428388,0.710703505,2.158402364,78.74286,63.2
-0.52645233,-0.127812968,-0.15512421,-0.16623897,1.162380228,0.305709962,97.75714,43
-0.24639915,0.339645935,0.25471827,1.48896015,-0.331278413,-0.745966602,53.57143,60
0.40768444,0.754263945,-0.65857667,0.69184982,2.76054841,-0.667131085,88,61.4
-0.3482574,-0.107008475,0.95117592,-0.45121809,0.251196514,0.612584043,72.78571,50.6
0.4348274,0.173521088,-0.4493304,1.08150433,-0.298704205,0.562736742,79.87143,77.4
0.92763141,-0.148441737,-0.85548882,-0.93605346,0.078543711,-0.853799404,86.64286,60.4
0.14513494,-0.496938455,0.90108604,0.69012883,-0.392759845,0.465869689,89.75714,67.6
1.35333007,1.554180948,-0.4730515,-0.11663746,0.016015111,0.410222454,93.91429,69.8
2.12079358,-2.862451333,-3.27015037,-0.33851317,-0.189842866,2.152433259,69.64286,39.4
-0.27337659,0.056980067,1.2078002,0.1201206,-1.30385844,1.096336829,85.07143,82.6
-0.16217005,0.113791196,0.97636101,0.44653652,-0.588329484,1.162699969,85.07143,82.6
-0.28664161,0.245844929,1.12213709,1.09204798,-0.488992195,-0.521715313,73.98571,71.2
-0.1467904,1.561966826,-0.72589363,0.59113231,-1.213802359,0.216800975,79.34286,64.6
-0.46567002,0.28659257,0.71984435,1.34930612,0.210560164,0.815438295,87.85714,74.2
1.16633318,-0.197707081,0.50720563,-0.74678776,0.65380699,0.753146743,66.24286,48
0.76677554,-0.682565023,0.45404967,1.12905373,-0.184483936,0.26670389,72.7,71
-0.9186702,-0.504832728,-0.88212582,1.30337861,-0.489997481,-0.834437383,89.5,53.2
0.38388952,-0.875548352,1.45243189,0.95137015,-0.197189088,0.336796631,84.5,55
-1.40779595,0.763354982,-0.3439306,-0.75170376,-0.51374125,-0.701246986,94.22857,71.2
-1.18604174,-0.999622927,-0.29054285,-0.59591561,2.927080914,0.077622158,93.64286,54.8
-0.27826858,0.372023897,0.63089592,-1.80884228,0.852753862,0.212361184,100,63.8
-0.55360986,-0.460888349,0.50116324,-0.24101795,-0.62202205,0.395823124,95.4,66.2
-0.06204707,-1.248810834,0.66036118,1.70330495,1.091188667,-0.172323435,65.1,37.6
-0.65849781,0.415634989,-0.62201083,-1.18977925,-1.376168344,0.25989551,76.64286,49.2
-0.93534115,-0.877690023,0.48192741,1.3500369,0.784359765,2.204608369,67.78571,36.4
-1.47770647,-1.569575715,0.57275976,0.69920497,2.309572309,-1.541190652,NA,67.4
-1.02812591,-0.764158467,0.03920309,-1.96323683,-0.025312579,0.274085684,93.35714,67.4
-1.25177879,-0.79025722,0.0817561,-1.03438404,-0.738764997,-0.967632885,86.08571,50.4
-1.30941397,0.096739391,-0.71403107,0.73525061,0.116913189,-0.808777676,72.78571,31.4
0.4398993,-1.887775051,2.16759562,-0.23434481,-0.022175904,-2.324386797,55.04286,59.2
0.33170896,-0.574825895,1.32421132,1.46919715,-1.448769843,1.239494001,36.61429,43.6
0.80251268,-0.336327822,-0.31510409,0.307416,0.033877774,-1.633333465,84.4,77.2
-0.29460202,0.073007454,1.2481094,-0.44802946,-0.771796179,1.091689065,62.71429,61.4
0.55533012,1.43581154,-0.63340071,0.18415321,-1.71076067,0.172923531,49.55714,55